Unnamed: 0,Produto ,Quantidade,Tipo,Data
751,CARCAÇA SUÍNA,137,porco,2023-08-12
752,CARCAÇA BOVINA,336.0,boi,2023-08-12
753,DIANTEIRO DE BOI,239.0,boi,2023-08-12
756,COXA S/ COXA,200.0,frango,2023-08-11
,CARCAÇA SUINA,270.0,porco,2023-08-11
,CARCAÇA SUINA,97.0,porco,2023-08-11
757,CARCAÇA SUINA,197.0,porco,2023-08-11
,PEITO,80.0,frango,2023-09-23
754,CARCAÇA BOVINA,256.0,boi,2023-08-11
755,COXINHA DA ASA,100.0,frango,2023-08-11
758,CARCAÇA BOVINA,328.5,boi,2023-08-10
,PEITO,85.0,frango,2023-08-10
764,CARCAÇA SUÍNA,237.0,porco,2023-07-12
,CARCAÇA BOVINA,236.0,boi,2023-07-12
,CARCAÇA SUÍNA,237.0,porco,2023-07-12
769,CARCAÇA BOVINA,236.0,boi,2023-07-12
767,CARCAÇA BOVINA,336.0,boi,2023-07-12
,PEITO,120.0,frango,2023-09-12
766,MIOLO DE ALCATRA,298.0,boi,2023-08-12
765,DIANTEIRO DE BOI,239.0,boi,2023-07-12
768,CARCAÇA BOVINA,336.4,boi,2023-07-12
763,BARRIGA SUÍNA,171.0,porco,2023-07-12
762,DIANTEIRO DE BOI,251.0,boi,2023-07-12
761,BARRIGA SUÍNA,93,porco,2023-07-12
760,CARCAÇA BOVINA,179.6,boi,2023-07-12
759,CARCAÇA SUÍNA,107.0,porco,2023-07-12
,File de peito,80.0,frango,2023-07-11
770,ASA,80.0,frango,2023-07-11
771,MIOLO DE ALCATRA,26.03,boi,2023-07-11
772,CARCAÇA BOVINA,117.0,boi,2023-07-11
773,COSTELA S OSSO,16.0,boi,2023-07-11
774,CARCAÇA SUINA,150.0,porco,2023-07-11
775,COXA S/ COXA,60.0,frango,2023-07-11
776,MOELA,40.8,frango,2023-07-11
777,DIANTEIRO DE BOI,164.0,boi,2023-07-11
778,CARCAÇA BOVINA,143.5,boi,2023-07-09
751,CARCAÇA SUÍNA,137.0,porco,2023-08-12
752,CARCAÇA BOVINA,336.0,boi,2023-08-12
753,DIANTEIRO DE BOI,139.0,boi,2023-08-12
756,COXA S/ COXA,60.0,frango,2023-08-11
757,CARCAÇA SUINA,97.0,porco,2023-08-11
754,CARCAÇA BOVINA,256.0,boi,2023-08-11
755,COXINHA DA ASA,40.0,frango,2023-08-11
,PEITO,80.0,frango,2023-09-11
