Produto ,Quantidade,Tipo,Data
boi,110.0,boi,2024-02-29
file de frango,40.0,frango,2024-02-28
boi,163.0,boi ,2024-02-28
bacon,18.0,porco,2024-02-28
boi,214.0,boi,2024-02-27
miolo de alcatra,21.0,boi,2024-02-27
porco,76.0,porco,2024-02-27
boi,165.0,boi,2024-02-26
boi,176.0,boi,2024-02-26
barriga suina,23.7,porco,2024-02-23
porco,158.0,porco,2024-02-23
file de frango,80.0,frango,2024-02-23
boi,137.0,boi,2024-02-23
porco,75.0,porco,2024-02-22
boi,148.0,boi,2024-02-22
boi,170.0,boi,2024-02-22
file de frango,80.0,frango,2024-02-21
contra file,25.6,boi,2024-02-21
frango,70.0,frango,2024-02-21
porco,85.0,porco,2024-02-21
boi,194.0,boi,2024-02-21
porco,82.0,porco,2024-02-20
file de frango,60.0,frango,2024-02-20
file de frango,40.0,frango,2024-02-20
frango,77.0,frango,2024-02-20
frango,60.0,frango,2024-02-20
boi,159.0,boi,2024-02-20
file de frango,30.0,frango,2024-02-19
boi,136.0,boi,2024-02-18
porco,140.0,porco,2024-02-18
contra file,141.0,boi,2024-02-18
lingueça,5.0,porco,2024-02-17
contra file,27.0,boi,2024-02-17
porco,159.0,porco,2024-02-16
boi,156.0,boi,2024-02-16
barriga suina,24.0,porco,2024-02-16
file de frango,40.0,frango,2024-02-16
boi,125.0,boi,2024-02-15
frango,60.0,frango,2024-02-15
porco,80.0,porco,2024-02-15
boi,248.0,boi,2024-02-15
frango,76.0,frango,2024-02-15
bacon,18.0,porco,2024-02-14
boi,163.0,boi,2024-02-14
porco,141.0,porco,2024-02-14
porco,147.0,porco,2024-02-09
boi,239.0,boi,2024-02-09
porco,163.0,porco,2024-02-08
miolo de alcatra,24.4,boi,2024-02-08
boi,250.0,boi,2024-02-08
porco,76.0,porco,2024-02-07
barriga suina,24.0,porco,2024-02-07
boi,121.0,boi,2024-02-07
file de frango,60.0,frango,2024-02-06
boi,273.0,boi,2024-02-06
porco,83.0,porco,2024-02-06
porco,79.0,porco,2024-02-05
boi,247.0,boi,2024-02-05
boi,149.0,boi,2024-02-04
contra file,19.5,boi,2024-02-02
porco,162.0,porco,2024-02-02
boi,167.0,boi,2024-02-02
miolo de alcatra,24.5,boi,2024-02-02
barriga suina,21.27,porco,2024-02-01
boi,147.0,boi,2024-02-01
boi,155.0,boi,2024-02-01
